# Time (a.u.)	Order parameter |r|
0.3310	3.3218995e-01
0.3320	3.3336053e-01
0.3330	3.3452936e-01
0.3340	3.3569645e-01
0.3350	3.3686177e-01
0.3360	3.3802533e-01
0.3370	3.3918712e-01
0.3380	3.4034714e-01
0.3390	3.4150537e-01
0.3400	3.4266182e-01
0.3410	3.4381648e-01
0.3420	3.4496934e-01
0.3430	3.4612040e-01
0.3440	3.4726965e-01
0.3450	3.4841710e-01
0.3460	3.4956274e-01
0.3470	3.5070657e-01
0.3480	3.5184858e-01
0.3490	3.5298877e-01
0.3500	3.5412714e-01
0.3510	3.5526368e-01
0.3520	3.5639841e-01
0.3530	3.5753130e-01
0.3540	3.5866237e-01
0.3550	3.5979162e-01
0.3560	3.6091903e-01
0.3570	3.6204461e-01
0.3580	3.6316837e-01
0.3590	3.6429029e-01
0.3600	3.6541038e-01
0.3610	3.6652865e-01
0.3620	3.6764508e-01
0.3630	3.6875969e-01
0.3640	3.6987247e-01
0.3650	3.7098342e-01
0.3660	3.7209255e-01
0.3670	3.7319985e-01
0.3680	3.7430533e-01
0.3690	3.7540899e-01
0.3700	3.7651082e-01
0.3710	3.7761084e-01
0.3720	3.7870904e-01
0.3730	3.7980543e-01
0.3740	3.8090000e-01
0.3750	3.8199277e-01
0.3760	3.8308373e-01
0.3770	3.8417288e-01
0.3780	3.8526022e-01
0.3790	3.8634577e-01
0.3800	3.8742952e-01
0.3810	3.8851148e-01
0.3820	3.8959164e-01
0.3830	3.9067001e-01
0.3840	3.9174659e-01
0.3850	3.9282140e-01
0.3860	3.9389442e-01
0.3870	3.9496566e-01
0.3880	3.9603513e-01
0.3890	3.9710282e-01
0.3900	3.9816875e-01
0.3910	3.9923291e-01
0.3920	4.0029531e-01
0.3930	4.0135595e-01
0.3940	4.0241483e-01
0.3950	4.0347197e-01
0.3960	4.0452735e-01
0.3970	4.0558099e-01
0.3980	4.0663288e-01
0.3990	4.0768303e-01
0.4000	4.0873145e-01
0.4010	4.0977814e-01
0.4020	4.1082309e-01
0.4030	4.1186632e-01
0.4040	4.1290783e-01
0.4050	4.1394762e-01
0.4060	4.1498569e-01
0.4070	4.1602204e-01
0.4080	4.1705669e-01
0.4090	4.1808963e-01
0.4100	4.1912086e-01
0.4110	4.2015040e-01
0.4120	4.2117824e-01
0.4130	4.2220438e-01
0.4140	4.2322884e-01
0.4150	4.2425161e-01
0.4160	4.2527269e-01
0.4170	4.2629209e-01
0.4180	4.2730981e-01
0.4190	4.2832586e-01
0.4200	4.2934023e-01
0.4210	4.3035293e-01
0.4220	4.3136397e-01
0.4230	4.3237335e-01
0.4240	4.3338106e-01
0.4250	4.3438712e-01
0.4260	4.3539152e-01
0.4270	4.3639427e-01
0.4280	4.3739537e-01
0.4290	4.3839483e-01
0.4300	4.3939264e-01
0.4310	4.4038881e-01
0.4320	4.4138334e-01
0.4330	4.4237624e-01
0.4340	4.4336751e-01
0.4350	4.4435714e-01
0.4360	4.4534515e-01
0.4370	4.4633154e-01
0.4380	4.4731630e-01
0.4390	4.4829944e-01
0.4400	4.4928097e-01
0.4410	4.5026088e-01
0.4420	4.5123918e-01
0.4430	4.5221587e-01
0.4440	4.5319095e-01
0.4450	4.5416443e-01
0.4460	4.5513631e-01
0.4470	4.5610659e-01
0.4480	4.5707527e-01
0.4490	4.5804236e-01
0.4500	4.5900786e-01
0.4510	4.5997177e-01
0.4520	4.6093409e-01
0.4530	4.6189482e-01
0.4540	4.6285398e-01
0.4550	4.6381155e-01
0.4560	4.6476755e-01
0.4570	4.6572197e-01
0.4580	4.6667482e-01
0.4590	4.6762610e-01
0.4600	4.6857581e-01
0.4610	4.6952395e-01
0.4620	4.7047054e-01
0.4630	4.7141556e-01
0.4640	4.7235903e-01
0.4650	4.7330094e-01
0.4660	4.7424129e-01
0.4670	4.7518010e-01
0.4680	4.7611736e-01
0.4690	4.7705307e-01
0.4700	4.7798724e-01
0.4710	4.7891987e-01
0.4720	4.7985096e-01
0.4730	4.8078051e-01
0.4740	4.8170854e-01
0.4750	4.8263503e-01
