# Coupling strength K	Order parameter |r|
2.500000e-02	4.086378e-02
2.500000e-02	4.154418e-02
2.500000e-02	4.229125e-02
2.500000e-02	4.310379e-02
2.500000e-02	4.397777e-02
2.500000e-02	4.490677e-02
2.500000e-02	4.588245e-02
2.500000e-02	4.654903e-03
2.500000e-02	4.689504e-02
2.500000e-02	4.793388e-02
2.500000e-02	4.898783e-02
2.500000e-02	4.963802e-03
2.500000e-02	5.004565e-02
2.500000e-02	5.109633e-02
2.500000e-02	5.212926e-02
2.500000e-02	5.313444e-02
2.500000e-02	5.410258e-02
2.500000e-02	5.502517e-02
2.500000e-02	5.589458e-02
2.500000e-02	5.670410e-02
2.500000e-02	5.744810e-02
2.500000e-02	5.779898e-02
2.500000e-02	5.812217e-02
2.500000e-02	5.872330e-02
2.500000e-02	5.884299e-02
2.500000e-02	5.925017e-02
2.500000e-02	5.970330e-02
2.500000e-02	5.971679e-02
2.500000e-02	6.008529e-02
2.500000e-02	6.040081e-02
2.500000e-02	6.043260e-02
2.500000e-02	6.065653e-02
2.500000e-02	6.086080e-02
2.500000e-02	6.100394e-02
2.500000e-02	6.102315e-02
2.500000e-02	6.115365e-02
2.500000e-02	6.126224e-02
2.500000e-02	6.135797e-02
2.500000e-02	6.144522e-02
2.500000e-02	6.144845e-02
2.500000e-02	6.153934e-02
2.500000e-02	6.163409e-02
2.500000e-02	6.173379e-02
2.500000e-02	6.177131e-02
2.500000e-02	6.183720e-02
2.500000e-02	6.194085e-02
2.500000e-02	6.199723e-02
2.500000e-02	6.203921e-02
2.500000e-02	6.212486e-02
2.500000e-02	6.213784e-02
2.500000e-02	6.218872e-02
2.500000e-02	6.220758e-02
2.500000e-02	6.222024e-02
2.500000e-02	7.067185e-03
2.500000e-02	7.272197e-03
2.500000e-02	9.451427e-03
2.500000e-02	9.511316e-03
3.000000e-02	1.138022e-02
3.000000e-02	1.243627e-02
3.000000e-02	1.445957e-02
3.000000e-02	1.607523e-02
3.000000e-02	1.747754e-02
3.000000e-02	1.979451e-02
3.000000e-02	2.038189e-02
3.000000e-02	2.314459e-02
3.000000e-02	2.353640e-02
3.000000e-02	2.574914e-02
3.000000e-02	2.726263e-02
3.000000e-02	2.784195e-02
3.000000e-02	2.818597e-02
3.000000e-02	2.871970e-02
3.000000e-02	3.001169e-02
3.000000e-02	3.045048e-02
3.000000e-02	3.094253e-02
3.000000e-02	3.166176e-02
3.000000e-02	3.254206e-02
3.000000e-02	3.360074e-02
