#i k1 k2 k
710 0 0 0
711 0 0 0
712 0 0 0
713 0 1 1
714 0 1 1
715 0 0 0
716 0 0 0
717 0 0 0
718 0 0 0
719 0 0 0
720 0 0 0
721 0 0 0
722 0 0 0
723 0 1 1
724 0 0 0
725 1 0 1
726 0 0 0
727 0 0 0
728 0 0 0
729 0 0 0
730 1 0 1
731 0 0 0
732 0 0 0
733 0 0 0
734 0 0 0
735 0 0 0
736 1 0 1
737 0 0 0
738 0 1 1
739 0 0 0
740 0 0 0
741 0 1 1
742 0 0 0
743 0 0 0
744 0 0 0
745 0 0 0
746 0 0 0
747 0 0 0
748 0 0 0
749 0 0 0
750 0 0 0
751 0 0 0
752 0 1 1
753 0 0 0
754 0 0 0
755 0 0 0
756 0 0 0
757 0 0 0
758 0 1 1
759 0 0 0
760 1 0 1
761 0 0 0
762 0 0 0
763 0 0 0
764 0 0 0
765 0 0 0
766 0 0 0
767 3 0 3
768 0 2 2
769 0 0 0
770 0 0 0
771 0 0 0
772 0 0 0
773 0 0 0
774 0 0 0
775 0 0 0
776 2 0 2
777 0 0 0
778 0 0 0
779 1 0 1
780 0 0 0
781 0 0 0
782 0 0 0
783 0 0 0
784 0 1 1
785 0 0 0
786 0 0 0
787 1 0 1
788 0 0 0
789 0 1 1
790 0 0 0
791 0 0 0
792 0 0 0
793 1 0 1
794 0 0 0
795 0 0 0
796 1 0 1
797 0 1 1
798 0 0 0
799 0 0 0
800 0 0 0
801 0 0 0
802 0 0 0
803 1 0 1
804 0 0 0
805 0 0 0
806 0 1 1
807 0 0 0
808 1 0 1
809 0 0 0
810 1 0 1
811 0 0 0
812 0 0 0
813 0 0 0
814 0 0 0
815 0 0 0
816 0 0 0
817 0 0 0
818 0 0 0
819 0 0 0
820 0 0 0
821 0 0 0
822 0 0 0
823 1 0 1
824 1 0 1
825 0 0 0
826 0 0 0
827 0 0 0
828 0 0 0
829 1 0 1
830 1 0 1
831 0 0 0
832 0 0 0
833 2 0 2
834 0 0 0
835 0 0 0
836 0 0 0
837 0 0 0
838 0 0 0
839 0 0 0
840 0 0 0
841 0 1 1
842 0 0 0
843 0 0 0
844 0 0 0
845 2 0 2
846 0 0 0
847 0 0 0
848 0 0 0
849 1 0 1
850 1 0 1
851 0 0 0
852 0 0 0
853 0 0 0
854 0 0 0
855 0 0 0
856 0 0 0
857 0 0 0
858 0 0 0
859 0 1 1
860 0 0 0
861 0 0 0
862 0 0 0
863 0 0 0
864 0 0 0
865 1 0 1
866 0 0 0
867 1 0 1
868 0 0 0
869 0 0 0
870 0 1 1
871 0 0 0
872 0 0 0
873 0 0 0
874 0 0 0
875 0 0 0
876 0 0 0
877 0 0 0
878 0 0 0
879 0 0 0
880 0 0 0
881 0 0 0
882 0 0 0
883 0 0 0
884 0 1 1
885 0 0 0
886 0 0 0
887 0 0 0
888 0 0 0
889 0 0 0
890 0 0 0
891 0 0 0
892 0 0 0
893 0 0 0
894 0 0 0
895 0 0 0
896 0 0 0
897 0 0 0
898 1 0 1
899 0 0 0
900 0 0 0
901 0 0 0
902 0 0 0
903 0 0 0
904 0 0 0
905 0 0 0
906 0 0 0
907 0 0 0
908 0 0 0
909 0 0 0
910 0 0 0
911 0 0 0
912 0 0 0
913 0 0 0
914 0 0 0
915 0 0 0
916 0 0 0
917 0 0 0
918 0 0 0
919 0 0 0
920 0 0 0
921 0 0 0
922 0 0 0
923 0 0 0
924 1 0 1
925 0 0 0
926 0 0 0
927 0 0 0
928 0 0 0
929 0 0 0
930 0 0 0
931 0 0 0
932 0 0 0
933 0 0 0
934 0 0 0
935 0 0 0
936 0 0 0
937 1 0 1
938 0 0 0
939 1 0 1
940 0 0 0
941 0 0 0
942 0 0 0
943 0 0 0
944 0 0 0
945 0 0 0
946 0 0 0
947 0 0 0
948 0 0 0
949 0 0 0
950 0 0 0
951 0 0 0
952 0 0 0
953 0 0 0
954 0 0 0
955 0 0 0
956 0 0 0
957 0 0 0
958 1 0 1
959 0 0 0
960 0 0 0
961 0 0 0
962 0 0 0
963 0 0 0
964 0 0 0
965 0 0 0
966 1 0 1
967 0 0 0
968 0 0 0
969 0 0 0
970 0 0 0
971 0 0 0
972 0 0 0
973 0 0 0
974 0 0 0
975 0 0 0
976 0 0 0
977 0 0 0
978 0 0 0
979 0 0 0
980 0 0 0
981 0 0 0
982 0 0 0
983 0 0 0
984 0 0 0
985 0 0 0
986 0 0 0
987 0 0 0
988 0 0 0
989 0 0 0
990 0 0 0
991 0 0 0
992 0 0 0
993 0 0 0
994 0 0 0
995 0 0 0
996 0 0 0
997 0 0 0
998 0 0 0
999 0 0 0
1000 0 0 0


#k P(k)
0 528
1 203
2 80
3 47
4 29
5 18
6 11
7 8
8 7
9 5
10 5
11 3
12 5
13 4
14 5
15 5
16 4
17 6
18 1
19 1
20 2
21 2
23 1
25 1
27 1
28 1
30 2
32 1
33 1
34 1
36 1
38 1
50 1
72 1
73 1
93 1
96 1
106 1
218 1
379 1
474 1
526 1
