# Time (a.u.)	Order parameter |r|
"g(w): std dev = 0.262"
0.3770	2.2660827e-01
0.3780	2.2727620e-01
0.3790	2.2794463e-01
0.3800	2.2861354e-01
0.3810	2.2928295e-01
0.3820	2.2995285e-01
0.3830	2.3062324e-01
0.3840	2.3129413e-01
0.3850	2.3196551e-01
0.3860	2.3263739e-01
0.3870	2.3330975e-01
0.3880	2.3398262e-01
0.3890	2.3465598e-01
0.3900	2.3532983e-01
0.3910	2.3600418e-01
0.3920	2.3667903e-01
0.3930	2.3735437e-01
0.3940	2.3803022e-01
0.3950	2.3870656e-01
0.3960	2.3938339e-01
0.3970	2.4006073e-01
0.3980	2.4073857e-01
0.3990	2.4141691e-01
0.4000	2.4209574e-01
0.4010	2.4277508e-01
0.4020	2.4345492e-01
0.4030	2.4413526e-01
0.4040	2.4481610e-01
0.4050	2.4549745e-01
0.4060	2.4617930e-01
0.4070	2.4686165e-01
0.4080	2.4754450e-01
0.4090	2.4822786e-01
0.4100	2.4891173e-01
0.4110	2.4959610e-01
0.4120	2.5028097e-01
0.4130	2.5096635e-01
0.4140	2.5165224e-01
0.4150	2.5233864e-01
0.4160	2.5302554e-01
0.4170	2.5371295e-01
0.4180	2.5440087e-01
0.4190	2.5508930e-01
0.4200	2.5577823e-01
0.4210	2.5646768e-01
0.4220	2.5715764e-01
0.4230	2.5784810e-01
0.4240	2.5853908e-01
0.4250	2.5923057e-01
0.4260	2.5992257e-01
0.4270	2.6061508e-01
0.4280	2.6130811e-01
0.4290	2.6200165e-01
0.4300	2.6269570e-01
0.4310	2.6339027e-01
0.4320	2.6408535e-01
0.4330	2.6478094e-01
0.4340	2.6547705e-01
0.4350	2.6617368e-01
0.4360	2.6687082e-01
0.4370	2.6756847e-01
0.4380	2.6826665e-01
0.4390	2.6896534e-01
0.4400	2.6966454e-01
0.4410	2.7036427e-01
0.4420	2.7106451e-01
0.4430	2.7176527e-01
0.4440	2.7246655e-01
0.4450	2.7316835e-01
0.4460	2.7387067e-01
0.4470	2.7457351e-01
0.4480	2.7527686e-01
0.4490	2.7598074e-01
0.4500	2.7668514e-01
0.4510	2.7739006e-01
0.4520	2.7809550e-01
0.4530	2.7880146e-01
0.4540	2.7950795e-01
0.4550	2.8021495e-01
0.4560	2.8092248e-01
0.4570	2.8163053e-01
0.4580	2.8233910e-01
0.4590	2.8304820e-01
0.4600	2.8375782e-01
0.4610	2.8446797e-01
0.4620	2.8517863e-01
0.4630	2.8588983e-01
0.4640	2.8660154e-01
0.4650	2.8731379e-01
0.4660	2.8802655e-01
0.4670	2.8873985e-01
0.4680	2.8945366e-01
0.4690	2.9016801e-01
0.4700	2.9088288e-01
0.4710	2.9159827e-01
0.4720	2.9231419e-01
0.4730	2.9303064e-01
0.4740	2.9374762e-01
0.4750	2.9446512e-01
0.4760	2.9518315e-01
0.4770	2.9590171e-01
0.4780	2.9662079e-01
0.4790	2.9734041e-01
0.4800	2.9806055e-01
0.4810	2.9878122e-01
0.4820	2.9950241e-01
0.4830	3.0022414e-01
0.4840	3.0094639e-01
0.4850	3.0166918e-01
0.4860	3.0239249e-01
0.4870	3.0311633e-01
0.4880	3.0384070e-01
0.4890	3.0456560e-01
0.4900	3.0529104e-01
0.4910	3.0601700e-01
0.4920	3.0674349e-01
0.4930	3.0747051e-01
0.4940	3.0819806e-01
0.4950	3.0892614e-01
0.4960	3.0965475e-01
0.4970	3.1038389e-01
0.4980	3.1111356e-01
0.4990	3.1184377e-01
0.5000	3.1257450e-01
0.5010	3.1330577e-01
0.5020	3.1403756e-01
0.5030	3.1476989e-01
0.5040	3.1550275e-01
0.5050	3.1623614e-01
0.5060	3.1697006e-01
0.5070	3.1770452e-01
0.5080	3.1843950e-01
0.5090	3.1917502e-01
0.5100	3.1991107e-01
0.5110	3.2064765e-01
0.5120	3.2138477e-01
0.5130	3.2212242e-01
0.5140	3.2286060e-01
0.5150	3.2359931e-01
0.5160	3.2433855e-01
0.5170	3.2507833e-01
0.5180	3.2581864e-01
0.5190	3.2655948e-01
0.5200	3.2730086e-01
0.5210	3.2804276e-01
0.5220	3.2878520e-01
0.5230	3.2952818e-01
0.5240	3.3027169e-01
0.5250	3.3101573e-01
0.5260	3.3176030e-01
0.5270	3.3250541e-01
0.5280	3.3325105e-01
0.5290	3.3399722e-01
