# Time (a.u.)	Order parameter |r|
0.4220	1.7956434e-01
0.4230	1.8015185e-01
0.4240	1.8074030e-01
0.4250	1.8132968e-01
0.4260	1.8191999e-01
0.4270	1.8251123e-01
0.4280	1.8310339e-01
0.4290	1.8369648e-01
0.4300	1.8429050e-01
0.4310	1.8488544e-01
0.4320	1.8548130e-01
0.4330	1.8607808e-01
0.4340	1.8667579e-01
0.4350	1.8727441e-01
0.4360	1.8787394e-01
0.4370	1.8847440e-01
0.4380	1.8907576e-01
0.4390	1.8967803e-01
0.4400	1.9028122e-01
0.4410	1.9088531e-01
0.4420	1.9149030e-01
0.4430	1.9209620e-01
0.4440	1.9270300e-01
0.4450	1.9331069e-01
0.4460	1.9391929e-01
0.4470	1.9452877e-01
0.4480	1.9513915e-01
0.4490	1.9575041e-01
0.4500	1.9636256e-01
0.4510	1.9697559e-01
0.4520	1.9758950e-01
0.4530	1.9820429e-01
0.4540	1.9881995e-01
0.4550	1.9943648e-01
0.4560	2.0005389e-01
0.4570	2.0067215e-01
0.4580	2.0129128e-01
0.4590	2.0191127e-01
0.4600	2.0253211e-01
0.4610	2.0315381e-01
0.4620	2.0377635e-01
0.4630	2.0439974e-01
0.4640	2.0502397e-01
0.4650	2.0564903e-01
0.4660	2.0627494e-01
0.4670	2.0690167e-01
0.4680	2.0752923e-01
0.4690	2.0815761e-01
0.4700	2.0878681e-01
0.4710	2.0941682e-01
0.4720	2.1004765e-01
0.4730	2.1067928e-01
0.4740	2.1131171e-01
0.4750	2.1194495e-01
0.4760	2.1257897e-01
0.4770	2.1321379e-01
0.4780	2.1384939e-01
0.4790	2.1448578e-01
0.4800	2.1512294e-01
0.4810	2.1576087e-01
0.4820	2.1639957e-01
0.4830	2.1703903e-01
0.4840	2.1767925e-01
0.4850	2.1832023e-01
0.4860	2.1896195e-01
0.4870	2.1960442e-01
0.4880	2.2024762e-01
0.4890	2.2089157e-01
0.4900	2.2153624e-01
0.4910	2.2218163e-01
0.4920	2.2282775e-01
0.4930	2.2347458e-01
0.4940	2.2412212e-01
0.4950	2.2477037e-01
0.4960	2.2541931e-01
0.4970	2.2606895e-01
0.4980	2.2671928e-01
0.4990	2.2737029e-01
0.5000	2.2802199e-01
0.5010	2.2867435e-01
0.5020	2.2932739e-01
0.5030	2.2998109e-01
0.5040	2.3063544e-01
0.5050	2.3129045e-01
0.5060	2.3194611e-01
0.5070	2.3260241e-01
0.5080	2.3325935e-01
0.5090	2.3391691e-01
0.5100	2.3457511e-01
0.5110	2.3523392e-01
0.5120	2.3589335e-01
0.5130	2.3655340e-01
0.5140	2.3721404e-01
0.5150	2.3787529e-01
0.5160	2.3853713e-01
0.5170	2.3919955e-01
0.5180	2.3986256e-01
0.5190	2.4052615e-01
0.5200	2.4119031e-01
0.5210	2.4185504e-01
0.5220	2.4252033e-01
0.5230	2.4318618e-01
0.5240	2.4385258e-01
0.5250	2.4451952e-01
0.5260	2.4518701e-01
0.5270	2.4585503e-01
0.5280	2.4652357e-01
0.5290	2.4719265e-01
0.5300	2.4786224e-01
0.5310	2.4853235e-01
0.5320	2.4920296e-01
0.5330	2.4987408e-01
0.5340	2.5054570e-01
0.5350	2.5121781e-01
0.5360	2.5189041e-01
0.5370	2.5256349e-01
0.5380	2.5323705e-01
0.5390	2.5391108e-01
0.5400	2.5458558e-01
0.5410	2.5526054e-01
0.5420	2.5593596e-01
0.5430	2.5661183e-01
0.5440	2.5728815e-01
0.5450	2.5796491e-01
0.5460	2.5864211e-01
0.5470	2.5931975e-01
0.5480	2.5999781e-01
0.5490	2.6067630e-01
0.5500	2.6135520e-01
0.5510	2.6203452e-01
0.5520	2.6271425e-01
0.5530	2.6339438e-01
0.5540	2.6407492e-01
0.5550	2.6475584e-01
0.5560	2.6543716e-01
0.5570	2.6611887e-01
0.5580	2.6680096e-01
0.5590	2.6748343e-01
0.5600	2.6816627e-01
0.5610	2.6884948e-01
0.5620	2.6953306e-01
